symbol,probability,prob_raw,verdict,combined_verdict,price,rsi,adx,volume_ratio,return_24h,return_72h,scanned_at,flow_score,flow_signal,taker_buy_ratio,whale_net
BABY,89.03,0.8903,STRONG BUY,STRONG BUY,0.01328,42.47,28.42,0.451,-6.48,-7.78,2026-06-23T12:37:16.601080+00:00,,,,
POND,88.12,0.8812,STRONG BUY,STRONG BUY,0.00144,45.37,24.23,0.377,-5.26,-11.66,2026-06-23T12:36:54.660944+00:00,,,,
OPEN,86.84,0.8684,STRONG BUY,STRONG BUY,0.1815,22.04,51.59,0.802,-16.63,-19.44,2026-06-23T12:37:21.128160+00:00,,,,
JTO,86.7,0.867,STRONG BUY,STRONG BUY,0.6262,39.04,22.63,0.398,-2.93,-13.0,2026-06-23T12:37:05.266085+00:00,,,,
1000CHEEMS,86.2,0.862,STRONG BUY,STRONG BUY,0.000489,31.45,32.89,0.554,-7.56,-7.56,2026-06-23T12:37:13.976853+00:00,,,,
XVG,85.49,0.8549,STRONG BUY,STRONG BUY,0.002423,36.75,32.02,0.088,-6.3,-5.43,2026-06-23T12:36:55.810262+00:00,,,,
SPCXB,85.0,0.85,BUY,BUY,152.09,36.51,64.57,0.801,-14.38,-15.7,2026-06-23T12:37:27.529692+00:00,,,,
RIF,84.36,0.8436,BUY,BUY,0.085,48.17,14.61,0.513,-5.76,-7.31,2026-06-23T12:36:54.051438+00:00,,,,
SAHARA,83.7,0.837,BUY,BUY,0.01142,25.6,62.76,0.432,-9.94,-12.69,2026-06-23T12:37:19.786373+00:00,,,,
BEAMX,83.33,0.8333,BUY,BUY,0.001356,28.63,36.43,0.127,-7.5,-4.1,2026-06-23T12:37:04.643017+00:00,,,,
PROVE,82.12,0.8212,BUY,BUY,0.1956,16.79,41.05,0.375,-7.52,-7.25,2026-06-23T12:37:20.394103+00:00,,,,
VIRTUAL,81.69,0.8169,BUY,BUY,0.5644,31.38,38.05,0.235,-7.03,-6.85,2026-06-23T12:37:17.151199+00:00,,,,
SPELL,80.68,0.8068,BUY,BUY,0.0001121,28.71,22.4,0.309,-5.8,-7.51,2026-06-23T12:36:59.500896+00:00,,,,
QKC,80.48,0.8048,BUY,BUY,0.001984,31.71,33.67,0.14,-6.77,-9.7,2026-06-23T12:37:03.013211+00:00,,,,
CVX,80.42,0.8042,BUY,BUY,1.162,36.23,36.0,2.767,-7.34,-5.3,2026-06-23T12:36:59.293010+00:00,,,,
AGLD,80.13,0.8013,BUY,BUY,0.1467,25.62,44.66,0.178,-7.68,-6.08,2026-06-23T12:36:57.738887+00:00,,,,
BIGTIME,79.36,0.7936,BUY,BUY,0.00792,26.88,36.65,0.976,-8.33,-8.65,2026-06-23T12:37:16.978859+00:00,,,,
STG,78.99,0.7899,BUY,BUY,0.1879,39.39,22.19,0.228,-5.96,-7.58,2026-06-23T12:37:01.470792+00:00,,,,
WLD,78.02,0.7802,BUY,BUY,0.568,30.89,30.46,0.399,-10.79,-6.75,2026-06-23T12:37:03.940634+00:00,,,,
EIGEN,77.93,0.7793,BUY,BUY,0.2555,33.05,34.75,0.345,-16.61,-1.99,2026-06-23T12:37:10.043009+00:00,,,,
NEAR,77.62,0.7762,BUY,BUY,2.001,35.16,27.33,0.173,-8.25,-6.67,2026-06-23T12:36:52.113161+00:00,,,,
TRUMP,77.37,0.7737,BUY,BUY,1.75,28.15,37.14,0.13,-8.09,-3.63,2026-06-23T12:37:13.590713+00:00,,,,
MMT,76.82,0.7682,BUY,BUY,0.2055,63.45,37.71,0.624,16.56,47.0,2026-06-23T12:37:24.157598+00:00,,,,
PIVX,75.77,0.7577,BUY,BUY,0.037,35.39,21.28,0.101,-7.04,-15.33,2026-06-23T12:37:04.749437+00:00,,,,
PUMP,75.39,0.7539,BUY,BUY,0.001392,30.95,35.19,0.091,-8.96,1.46,2026-06-23T12:37:21.526590+00:00,,,,
MAV,75.32,0.7532,BUY,BUY,0.00977,30.38,36.43,0.079,-7.57,-6.95,2026-06-23T12:37:03.522941+00:00,,,,
RLC,75.21,0.7521,BUY,BUY,0.3083,29.29,44.93,0.218,-7.19,-6.01,2026-06-23T12:36:46.247508+00:00,,,,
CELR,75.1,0.751,BUY,BUY,0.001933,31.17,40.39,0.367,-7.78,-6.89,2026-06-23T12:36:42.793555+00:00,,,,
TWT,74.89,0.7489,BUY,BUY,0.3643,27.12,45.12,0.208,-5.82,-5.84,2026-06-23T12:36:54.256971+00:00,,,,
FET,74.08,0.7408,BUY,BUY,0.1731,35.68,24.31,0.265,-8.02,-8.89,2026-06-23T12:36:41.998346+00:00,,,,
HOME,73.57,0.7357,BUY,BUY,0.02057,54.12,16.97,0.896,-0.05,-10.57,2026-06-23T12:37:19.481039+00:00,,,,
HUMA,73.07,0.7307,BUY,BUY,0.02239,27.59,39.73,0.368,-6.16,-7.52,2026-06-23T12:37:19.069884+00:00,,,,
OSMO,72.46,0.7246,BUY,BUY,0.0409,37.68,12.7,2.74,-7.88,-7.67,2026-06-23T12:37:01.891552+00:00,,,,
YB,72.12,0.7212,BUY,BUY,0.0732,28.8,31.94,0.887,-9.96,-4.44,2026-06-23T12:37:23.370391+00:00,,,,
PYR,71.03,0.7103,BUY,BUY,0.176,51.22,12.57,0.399,0.0,-3.3,2026-06-23T12:36:58.878035+00:00,,,,
QI,70.7,0.707,BUY,BUY,0.00121,23.48,36.73,0.642,-5.47,-3.97,2026-06-23T12:36:58.466986+00:00,,,,
OGN,70.59,0.7059,BUY,BUY,0.01578,31.21,34.99,0.142,-7.18,-6.68,2026-06-23T12:36:46.814732+00:00,,,,
ADX,70.35,0.7035,BUY,BUY,0.0543,22.67,51.95,0.692,-11.42,-11.71,2026-06-23T12:36:58.048483+00:00,,,,
S,69.38,0.6938,WATCH,WATCH,0.02483,38.07,48.14,0.608,-9.51,-11.79,2026-06-23T12:37:13.276882+00:00,,,,
MOVR,69.08,0.6908,WATCH,WATCH,1.204,44.75,33.22,0.572,-2.98,-6.01,2026-06-23T12:36:58.254012+00:00,,,,
LINEA,69.02,0.6902,WATCH,WATCH,0.002407,39.01,38.95,0.456,-5.42,-4.48,2026-06-23T12:37:21.326295+00:00,,,,
STEEM,68.81,0.6881,WATCH,WATCH,0.03971,19.07,39.65,1.466,-7.74,-7.35,2026-06-23T12:37:01.043801+00:00,,,,
KERNEL,68.23,0.6823,WATCH,WATCH,0.0419,19.93,46.65,0.597,-11.42,-15.18,2026-06-23T12:37:17.295479+00:00,,,,
ONE,68.09,0.6809,WATCH,WATCH,0.0013,17.61,42.22,0.752,-9.72,-7.8,2026-06-23T12:36:44.134069+00:00,,,,
ZAMA,68.03,0.6803,WATCH,WATCH,0.03384,53.23,10.59,0.633,1.05,-3.18,2026-06-23T12:37:25.831909+00:00,,,,
PENGU,67.82,0.6782,WATCH,WATCH,0.006323,30.45,29.01,0.155,-7.94,-6.03,2026-06-23T12:37:12.621738+00:00,,,,
UMA,67.67,0.6767,WATCH,WATCH,0.397,29.2,44.56,0.025,-5.48,-4.11,2026-06-23T12:36:51.109742+00:00,,,,
1MBABYDOGE,67.63,0.6763,WATCH,WATCH,0.0003132,27.29,34.09,0.473,-6.28,-4.16,2026-06-23T12:37:09.642110+00:00,,,,
BLUR,66.56,0.6656,WATCH,WATCH,0.01477,32.35,36.65,0.075,-6.87,-6.16,2026-06-23T12:37:04.955878+00:00,,,,
GNS,66.47,0.6647,WATCH,WATCH,0.546,24.85,47.47,0.18,-5.54,-4.21,2026-06-23T12:37:02.295188+00:00,,,,
